area_name,municipality_name,region_type,Health_GP_Distance_km,Health_GP_Count_Within_1km,Health_GP_Count_Within_3km,Health_GP_Count_Within_5km,Health_GP_after_hours_Distance_km,Health_Pharmacy_Distance_km,Health_Hospital_incl_Distance_km,Health_Hospital_incl_Count_Within_5km,Health_Hospital_incl_Count_Within_10km,Health_Hospital_incl_Count_Within_20km,Health_Hospital_excl_Distance_km,Health_Hospital_excl_Count_Within_5km,Health_Hospital_excl_Count_Within_10km,Health_Hospital_excl_Count_Within_20km,Retail_Daily_grocery_Distance_to_large_supermarket_km,Retail_Daily_grocery_Count_large_supermarketen_Within_1_km_count,Retail_Daily_grocery_Count_large_supermarketen_Within_3_km_count,Retail_Daily_grocery_Count_large_supermarketen_Within_5_km_count,Retail_Daily_grocery_Distance_to_other_daily_goods_km,Retail_Daily_grocery_Count_overige_dagelijkse_levensmiddelen_Within_1_km_count,Retail_Daily_grocery_Count_overige_dagelijkse_levensmiddelen_Within_3_km_count,Retail_Daily_grocery_Count_overige_dagelijkse_levensmiddelen_Within_5_km_count,Hospitality_Cafes_Distance_to_café_e.d._km,Hospitality_Cafes_Count_cafés_e.d._Within_1_km_count,Hospitality_Cafes_Count_cafés_e.d._Within_3_km_count,Hospitality_Cafes_Count_cafés_e.d._Within_5_km_count,Hospitality_Cafeterias_Distance_to_cafetaria_e.d._km,Hospitality_Cafeterias_Count_cafetaria's_e.d._Within_1_km_count,Hospitality_Cafeterias_Count_cafetaria's_e.d._Within_3_km_count,Hospitality_Cafeterias_Count_cafetaria's_e.d._Within_5_km_count,Hospitality_Restaurants_Distance_to_restaurant_km,Hospitality_Restaurants_Count_restaurants_Within_1_km_count,Hospitality_Restaurants_Count_restaurants_Within_3_km_count,Hospitality_Restaurants_Count_restaurants_Within_5_km_count,Traffic_transport_Distance_to_highway_ramp_km,Traffic_transport_Train_stations_Distance_to_treinstations_totaal_km,Traffic_transport_Train_stations_Distance_to_belangrijk_overstapstation_km,Leisure_culture_Distance_to_bibliotheek_km,Leisure_culture_Sport_Distance_to_indoor_pool_km,Leisure_culture_Sport_Distance_to_ice_rink_km,Leisure_culture_Museum_Distance_to_museum_km,Leisure_culture_Museum_Count_musea_Within_5_km_count,Leisure_culture_Museum_Count_musea_Within_10_km_count,Leisure_culture_Museum_Count_musea_Within_20_km_count,Leisure_culture_Performing_arts_(excl._festivals)_Distance_to_podiumkunsten_totaal_km,Leisure_culture_Performing_arts_(excl._festivals)_Count_podiumkunsten_totaal_Within_5_km_count,Leisure_culture_Performing_arts_(excl._festivals)_Count_podiumkunsten_totaal_Within_10_km_count,Leisure_culture_Performing_arts_(excl._festivals)_Count_podiumkunsten_totaal_Within_20_km_count,Leisure_culture_Performing_arts_(excl._festivals)_Distance_to_music_venue_km,Leisure_culture_Cinema_Distance_to_bioscoop_km,Leisure_culture_Cinema_Count_bioscopen_Within_5_km_count,Leisure_culture_Cinema_Count_bioscopen_Within_10_km_count,Leisure_culture_Cinema_Count_bioscopen_Within_20_km_count,Leisure_culture_Recreation_Distance_to_sauna_km,Leisure_culture_Recreation_Distance_to_tanning_bed_km,Leisure_culture_Recreation_Distance_to_attraction_km,Leisure_culture_Recreation_Count_attractions_Within_10_km_count,Leisure_culture_Recreation_Count_attractions_Within_20_km_count,Leisure_culture_Recreation_Count_attractions_Within_50_km_count,district_x,Name_clean_x,match,GEBIED_NAAM,18_en_ouder,18_tot_65,65_en_ouder,area_name_normalized,district_y,Name_clean_y
Banpleinbuurt,Amsterdam                               ,Buurt     ,0.3,5.6,47.0,124.7,3.3,0.3,3.1,5.0,7.0,13.0,3.1,4.0,6.0,10.0,0.5,3.7,74.5,164.8,0.4,31.4,432.4,959.7,0.5,4.4,263.5,623.8,0.3,14.5,353.2,819.6,0.4,52.7,1043.0,1981.0,2.5,2.2,2.2,0.7,1.5,6.1,0.7,40.1,49.0,64.7,0.7,34.3,52.0,63.0,1.8,1.4,11.0,15.0,19.1,2.1,1.3,3.8,7.5,13.0,62.3,Amsterdam Zuid,banpleinbuurt,banpleinbuurt,Banpleinbuurt,78.0,81.2,71.3,banpleinbuurt,Amsterdam Zuid,banpleinbuurt
Hondecoeterbuurt,Amsterdam                               ,Buurt     ,0.4,5.8,49.5,125.8,3.0,0.4,3.0,4.4,7.0,12.8,3.0,3.4,6.0,9.8,0.6,6.0,75.6,165.1,0.3,42.3,440.9,962.4,0.5,12.2,267.6,626.8,0.5,21.5,359.4,820.6,0.2,71.2,1064.0,1991.0,2.5,2.1,2.1,0.3,1.2,5.8,0.7,40.1,49.0,61.7,0.8,34.2,52.0,62.5,2.0,1.1,11.0,15.0,19.0,2.1,1.0,3.5,7.1,13.0,62.0,Amsterdam Zuid,hondecoeterbuurt,hondecoeterbuurt,Hondecoeterbuurt,75.9,79.1,65.0,hondecoeterbuurt,Amsterdam Zuid,hondecoeterbuurt
Johannes Vermeerbuurt,Amsterdam                               ,Buurt     ,0.4,4.6,53.2,125.4,3.0,0.9,2.7,3.8,7.0,12.9,3.0,2.8,6.0,9.9,0.4,5.5,77.6,161.7,0.3,40.8,506.4,957.4,0.5,19.2,354.8,631.4,0.3,35.0,441.1,823.9,0.2,95.6,1166.0,1997.0,2.7,2.7,2.8,0.8,0.7,5.8,0.4,40.9,49.0,64.2,0.9,36.7,52.8,62.3,1.4,1.2,11.0,15.0,18.7,1.9,1.1,3.2,7.6,12.6,62.0,Amsterdam Zuid,johannes vermeerbuurt,johannnes vermeerbuurt,Johannnes Vermeerbuurt,77.1,79.1,69.9,johannnes vermeerbuurt,Other,johannnes vermeerbuurt
Duivelseiland,Amsterdam                               ,Buurt     ,0.3,5.7,55.8,127.6,2.8,0.6,2.8,3.8,7.1,12.4,2.8,2.8,6.1,9.4,0.3,6.9,78.1,162.8,0.2,55.9,498.8,961.2,0.2,23.2,333.2,630.0,0.1,39.0,433.1,829.3,0.1,113.2,1156.0,2001.0,2.4,2.3,2.4,0.4,0.7,5.5,0.6,40.7,49.0,62.3,1.0,36.2,52.7,62.6,1.5,0.9,11.0,15.0,18.4,2.1,0.8,3.1,7.3,12.8,62.0,Amsterdam Zuid,duivelseiland,duivelseiland,Duivelseiland,73.7,75.6,56.9,duivelseiland,Amsterdam Zuid,duivelseiland
Harmoniehofbuurt,Amsterdam                               ,Buurt     ,0.3,7.7,53.7,126.6,2.7,0.4,2.7,3.5,7.5,12.4,2.7,2.5,6.5,9.4,0.4,8.5,78.1,161.5,0.3,56.1,468.7,958.9,0.3,21.7,287.7,628.1,0.3,34.4,387.2,821.5,0.2,105.5,1097.0,1992.0,2.1,2.1,2.1,0.4,1.0,5.4,0.8,41.1,49.0,61.7,1.0,34.6,52.1,61.4,1.7,0.8,11.0,15.0,18.7,2.2,0.7,3.3,7.1,12.8,62.0,Amsterdam Zuid,harmoniehofbuurt,harmoniehofbuurt,Harmoniehofbuurt,67.6,73.8,62.5,harmoniehofbuurt,Amsterdam Zuid,harmoniehofbuurt
Frans Halsbuurt,Amsterdam                               ,Buurt     ,0.5,3.0,52.9,125.3,2.6,1.1,2.5,3.2,7.0,13.0,2.6,2.2,6.0,10.0,0.4,6.2,74.8,154.6,0.2,45.0,467.3,939.6,0.3,26.2,319.2,628.5,0.1,40.8,400.4,807.0,0.1,108.6,1091.0,1973.0,2.8,2.8,2.9,1.1,0.8,5.4,0.9,41.0,49.0,61.5,1.4,36.2,53.0,61.5,1.5,1.2,11.0,15.0,18.8,2.4,0.9,2.6,7.1,12.0,62.1,Amsterdam Zuid,frans halsbuurt,frans halsbuurt,Frans Halsbuurt,72.0,73.9,58.1,frans halsbuurt,Amsterdam Zuid,frans halsbuurt
Gerard Doubuurt,Amsterdam                               ,Buurt     ,0.7,3.0,59.3,123.6,2.2,1.0,2.2,2.8,7.8,12.5,2.2,1.8,6.8,9.5,0.3,7.9,83.3,153.5,0.2,47.1,516.4,932.1,0.2,29.0,377.2,628.0,0.2,44.0,464.2,801.8,0.1,121.2,1188.0,1964.0,3.0,2.8,3.3,1.2,1.0,5.0,1.0,41.3,49.0,60.8,1.2,36.3,53.0,61.7,1.4,1.4,11.0,15.0,19.5,2.5,0.5,2.3,7.0,12.0,62.0,Amsterdam Zuid,gerard doubuurt,gerard doubuurt,Gerard Doubuurt,68.2,70.8,51.3,gerard doubuurt,Amsterdam Zuid,gerard doubuurt
Hercules Seghersbuurt,Amsterdam                               ,Buurt     ,0.7,4.6,51.0,122.0,2.6,0.9,2.6,2.9,7.1,12.5,2.6,1.9,6.1,9.5,0.3,5.9,71.2,151.5,0.3,42.7,437.9,925.2,0.4,20.0,293.9,619.3,0.3,32.5,376.8,796.8,0.1,92.3,1040.0,1948.0,2.5,2.5,2.8,0.8,1.0,5.4,1.0,41.0,49.0,61.0,1.3,35.7,52.7,60.3,1.5,0.9,10.5,15.0,18.0,2.5,0.7,2.9,6.8,12.0,62.0,Amsterdam Zuid,hercules seghersbuurt,hercules seghersbuurt,Hercules Seghersbuurt,68.0,70.6,49.5,hercules seghersbuurt,Amsterdam Zuid,hercules seghersbuurt
Sarphatiparkbuurt,Amsterdam                               ,Buurt     ,0.7,3.6,50.9,119.8,2.3,0.9,2.3,2.8,7.6,12.3,2.3,1.8,6.6,9.3,0.5,5.7,72.1,149.0,0.1,40.5,434.2,915.5,0.3,22.5,302.2,619.5,0.2,31.8,377.5,786.9,0.1,89.8,1029.0,1935.0,2.6,2.6,3.1,1.0,1.2,5.1,1.1,40.6,49.0,60.6,1.1,35.2,52.9,60.4,1.4,1.1,10.7,15.0,18.8,2.7,0.6,2.6,7.0,12.0,62.0,Amsterdam Zuid,sarphatiparkbuurt,sarphatiparkbuurt,Sarphatiparkbuurt,71.6,74.0,52.0,sarphatiparkbuurt,Amsterdam Zuid,sarphatiparkbuurt
Hemonybuurt,Amsterdam                               ,Buurt     ,0.7,3.8,60.3,117.3,1.5,0.8,1.5,2.2,8.0,12.0,1.5,1.2,7.0,9.0,0.3,8.1,86.7,148.3,0.3,38.5,507.1,908.3,0.1,28.1,376.9,619.1,0.2,38.7,454.0,783.4,0.1,106.5,1163.0,1931.0,2.9,2.2,3.3,0.8,1.4,4.3,1.2,41.0,49.0,61.0,0.6,35.6,53.0,61.1,0.8,1.2,10.7,15.0,20.0,2.9,0.3,1.9,7.0,12.0,62.0,Amsterdam Zuid,hemonybuurt,hemonybuurt,Hemonybuurt,74.0,75.6,60.3,hemonybuurt,Amsterdam Zuid,hemonybuurt
Nieuwe Pijp,Amsterdam                               ,Wijk      ,0.4,4.0,48.9,115.7,2.1,0.6,2.1,2.8,8.0,12.0,2.1,1.8,7.0,9.0,0.3,6.8,67.9,146.7,0.2,36.5,367.2,896.9,0.2,20.6,241.2,606.6,0.3,26.5,310.7,770.0,0.2,82.5,893.2,1895.0,2.1,1.9,2.9,0.8,1.4,4.7,0.9,41.0,49.0,60.6,0.8,33.7,52.7,60.0,1.0,0.9,9.5,15.0,18.7,3.0,0.6,2.8,7.1,12.0,62.0,Amsterdam Zuid,nieuwe pijp,nieuwe diepdiemerpark,Nieuwe Diep/Diemerpark,74.2,76.1,67.3,nieuwe diep/diemerpark,Other,nieuwe diepdiemerpark
Cornelis Troostbuurt,Amsterdam                               ,Buurt     ,0.5,5.8,47.0,120.6,2.6,0.7,2.6,3.0,8.0,12.2,2.6,2.0,7.0,9.2,0.3,7.5,67.0,149.7,0.2,41.4,368.0,919.4,0.3,19.6,223.9,617.6,0.3,22.2,310.8,783.2,0.2,89.9,915.1,1925.0,1.7,1.8,2.3,0.9,1.2,5.1,0.9,41.0,49.0,60.5,1.1,33.6,52.3,59.6,1.5,0.7,10.4,15.0,18.0,2.7,0.6,3.2,7.0,12.0,62.0,Amsterdam Zuid,cornelis troostbuurt,cornelis troostbuurt,Cornelis Troostbuurt,70.9,74.1,50.0,cornelis troostbuurt,Amsterdam Zuid,cornelis troostbuurt
Lizzy Ansinghbuurt,Amsterdam                               ,Buurt     ,0.3,4.2,44.8,118.1,2.4,0.7,2.4,3.0,8.0,12.0,2.4,2.0,7.0,9.0,0.3,7.2,61.2,147.8,0.2,47.5,323.9,907.3,0.1,21.1,206.2,610.4,0.2,24.1,277.3,773.5,0.1,93.8,832.3,1900.0,1.8,1.8,2.6,1.0,1.4,4.9,0.6,41.0,49.0,60.1,1.0,32.8,52.7,59.2,1.2,0.5,9.3,15.0,18.0,2.9,0.5,3.0,7.0,12.0,62.0,Amsterdam Zuid,lizzy ansinghbuurt,lizzy ansinghbuurt,Lizzy Ansinghbuurt,67.3,70.5,48.9,lizzy ansinghbuurt,Amsterdam Zuid,lizzy ansinghbuurt
Van der Helstpleinbuurt,Amsterdam                               ,Buurt     ,0.3,3.0,47.8,112.1,2.0,0.5,2.0,2.7,8.0,11.7,2.0,1.7,7.0,8.7,0.4,5.6,66.0,144.5,0.3,30.8,355.7,880.7,0.2,19.9,239.8,598.1,0.3,25.7,300.9,759.2,0.2,71.5,851.3,1870.0,2.4,2.1,3.3,0.9,1.6,4.6,0.8,41.0,49.0,60.7,0.7,33.8,52.7,60.1,0.9,1.1,9.1,15.0,19.0,3.2,0.6,2.6,7.0,12.0,62.0,Amsterdam Zuid,van der helstpleinbuurt,van der helstpleinbuurt,Van der Helstpleinbuurt,71.2,73.3,53.3,van der helstpleinbuurt,Amsterdam Zuid,van der helstpleinbuurt
Willibrordusbuurt,Amsterdam                               ,Buurt     ,0.5,3.1,56.5,112.4,1.5,0.6,1.5,2.2,8.0,12.0,1.5,1.2,7.0,9.0,0.3,7.2,77.6,145.1,0.3,28.8,421.0,881.3,0.2,22.7,297.3,601.2,0.3,35.6,354.5,765.2,0.1,78.6,979.0,1885.0,2.7,1.8,3.5,0.4,1.3,4.1,1.0,41.0,49.0,61.0,0.4,34.6,53.0,61.0,0.4,1.3,9.3,15.0,19.9,3.1,0.6,2.1,7.5,12.0,62.0,Amsterdam Zuid,willibrordusbuurt,willibrordusbuurt,Willibrordusbuurt,66.1,70.6,47.2,willibrordusbuurt,Amsterdam Zuid,willibrordusbuurt
BurgemeesterTellegenbuurt-West,Amsterdam                               ,Buurt     ,0.4,4.6,40.2,109.9,2.5,0.7,2.5,3.0,8.0,11.3,2.5,2.0,7.0,8.3,0.5,6.6,53.9,142.7,0.4,42.1,273.9,862.9,0.4,13.8,171.6,580.3,0.5,19.2,229.4,743.6,0.3,69.4,702.1,1823.0,1.8,1.8,2.9,1.2,1.7,4.6,0.6,40.9,49.0,60.0,1.1,32.4,52.4,59.0,1.2,1.0,8.3,15.0,18.0,3.3,0.7,3.1,7.0,12.0,62.0,Amsterdam Zuid,burgemeestertellegenbuurtwest,burgemeester tellegenbuurt west,Burgemeester Tellegenbuurt West,60.1,64.7,45.4,burgemeester tellegenbuurt west,Amsterdam Zuid,burgemeester tellegenbuurt west
Burgemeester Tellegenbuurt-Oost,Amsterdam                               ,Buurt     ,0.6,3.2,45.8,107.8,2.0,0.5,2.0,2.5,8.0,12.0,2.0,1.5,7.0,9.0,0.4,7.2,60.4,140.0,0.3,30.0,326.7,854.5,0.3,15.3,227.1,584.5,0.2,26.2,277.3,743.4,0.3,61.8,794.4,1833.0,2.2,1.8,3.5,0.6,1.8,4.2,0.9,41.0,49.0,60.6,0.6,34.0,53.0,59.3,0.6,1.5,8.3,15.0,18.2,3.5,0.4,2.6,7.1,12.0,62.0,Amsterdam Zuid,burgemeester tellegenbuurtoost,burgemeester tellegenbuurt oost,Burgemeester Tellegenbuurt Oost,61.3,65.3,44.5,burgemeester tellegenbuurt oost,Amsterdam Zuid,burgemeester tellegenbuurt oost
Diamantbuurt,Amsterdam                               ,Buurt     ,0.7,4.0,49.3,104.6,1.8,0.5,1.8,2.4,8.0,12.0,1.8,1.4,7.0,9.0,0.6,6.6,63.9,137.0,0.4,26.0,323.1,839.5,0.5,13.3,227.5,577.3,0.3,24.7,278.8,736.9,0.3,54.9,793.1,1810.0,2.3,1.5,3.7,0.5,1.6,3.8,1.2,41.0,49.0,60.8,0.5,33.9,53.0,59.3,0.5,1.7,8.1,15.0,18.4,3.5,0.5,2.5,7.1,12.0,62.0,Amsterdam Zuid,diamantbuurt,diamantbuurt,Diamantbuurt,59.8,64.0,43.9,diamantbuurt,Amsterdam Zuid,diamantbuurt
Bertelmanpleinbuurt,Amsterdam                               ,Buurt     ,0.6,3.3,36.7,102.8,3.8,0.5,2.1,5.0,6.0,14.0,2.1,4.0,5.0,10.0,0.2,8.3,45.5,139.9,0.3,38.0,266.3,789.4,0.4,8.8,108.7,481.3,0.2,20.7,195.6,669.8,0.2,68.5,564.6,1629.0,1.5,1.9,1.9,1.0,2.6,7.0,1.8,28.5,48.5,68.0,0.8,32.1,50.3,65.0,0.8,2.7,8.9,15.0,20.0,2.4,0.5,3.4,8.0,14.7,63.9,Amsterdam Zuid,bertelmanpleinbuurt,bertelmanpleinbuurt,Bertelmanpleinbuurt,59.2,64.1,44.6,bertelmanpleinbuurt,Amsterdam Zuid,bertelmanpleinbuurt
Olympisch Stadion e.o.,Amsterdam                               ,Buurt     ,1.0,0.3,24.9,91.0,4.3,0.8,1.5,3.6,6.0,14.0,1.5,3.3,5.0,10.0,0.4,4.1,33.6,119.7,0.5,16.6,161.9,626.5,0.4,4.9,55.7,338.9,0.4,13.5,114.0,492.0,0.2,30.5,341.7,1328.0,0.9,2.0,2.0,0.3,3.2,7.2,2.6,15.6,47.0,67.1,1.4,27.3,48.6,63.6,1.4,3.1,7.1,14.0,20.0,2.6,1.1,4.0,7.3,13.0,64.0,Amsterdam Zuid,olympisch stadion eo,olympisch stadion eo,Olympisch Stadion e.o.,69.8,74.1,52.8,olympisch stadion e.o.,Amsterdam Zuid,olympisch stadion eo
Marathonbuurt-West,Amsterdam                               ,Buurt     ,0.4,1.2,33.0,100.0,4.1,0.4,1.8,5.0,6.0,14.0,1.8,4.0,5.0,10.0,0.2,6.5,46.3,131.5,0.2,30.1,251.2,720.5,0.4,6.8,82.2,412.6,0.1,21.4,165.2,597.4,0.2,56.3,475.8,1490.0,1.2,1.6,1.6,1.0,2.7,6.7,2.1,25.8,48.0,68.0,1.1,30.7,49.0,65.0,1.1,2.6,8.0,14.8,20.0,2.2,0.8,3.7,8.0,13.1,64.0,Amsterdam Zuid,marathonbuurtwest,marathonbuurt west,Marathonbuurt West,58.3,61.9,45.0,marathonbuurt west,Amsterdam Zuid,marathonbuurt west
Marathonbuurt-Oost,Amsterdam                               ,Buurt     ,0.4,1.2,34.0,106.3,4.1,0.4,2.0,5.0,6.0,14.0,2.0,4.0,5.0,10.0,0.3,6.2,50.2,135.3,0.2,26.1,272.1,762.9,0.6,6.1,89.1,453.1,0.2,18.6,184.2,650.1,0.2,48.1,523.1,1578.0,1.4,1.5,1.5,1.2,2.5,6.6,1.9,30.4,48.2,68.0,1.0,31.7,49.4,64.9,1.1,2.4,8.1,15.0,20.0,2.2,0.9,3.7,8.0,13.0,63.6,Amsterdam Zuid,marathonbuurtoost,marathonbuurt oost,Marathonbuurt Oost,62.0,65.7,49.9,marathonbuurt oost,Amsterdam Zuid,marathonbuurt oost
Van Tuyllbuurt,Amsterdam                               ,Buurt     ,0.7,1.5,28.8,96.8,4.4,0.4,1.8,4.8,6.0,14.0,1.8,4.0,5.0,10.0,0.2,4.3,44.1,126.2,0.2,19.1,229.9,676.9,0.2,3.6,66.6,382.2,0.2,15.8,146.2,549.3,0.1,29.1,432.3,1421.0,1.2,1.3,1.3,1.1,2.8,6.7,2.4,22.3,47.8,67.6,1.2,29.9,49.1,63.5,1.4,2.7,7.9,14.5,19.7,2.0,1.1,3.6,8.0,13.0,63.6,Amsterdam Zuid,van tuyllbuurt,van tuyllbuurt,Van Tuyllbuurt,72.7,76.0,53.8,van tuyllbuurt,Amsterdam Zuid,van tuyllbuurt
IJsbaanpad e.o.,Amsterdam                               ,Buurt     ,1.5,0.0,11.7,62.9,5.3,1.7,1.5,1.8,6.0,14.0,1.5,1.8,5.0,10.0,1.1,0.0,17.9,89.6,1.0,1.0,81.9,440.9,0.5,1.1,22.5,207.6,0.9,2.7,63.9,323.4,0.6,1.7,169.3,934.6,0.9,2.4,2.4,1.4,4.1,8.0,3.5,7.1,46.2,60.2,2.3,17.1,48.0,60.5,2.3,3.9,4.1,13.0,19.0,2.6,2.0,4.2,6.0,13.0,64.0,Amsterdam Zuid,ijsbaanpad eo,ijsbaanpad eo,IJsbaanpad e.o.,77.5,80.3,66.3,ijsbaanpad e.o.,Amsterdam Zuid,ijsbaanpad eo
Hiltonbuurt,Amsterdam                               ,Buurt     ,0.9,2.7,36.5,114.9,3.8,0.8,2.7,4.8,6.6,13.4,2.7,3.8,5.6,10.0,0.7,2.9,59.0,148.0,0.4,20.1,309.0,883.0,1.0,0.5,152.3,579.6,0.6,9.8,239.6,750.6,0.7,21.3,719.6,1835.0,2.1,2.0,2.0,1.2,2.1,6.2,1.4,36.6,49.0,64.4,0.5,32.9,52.0,62.8,1.8,1.9,9.2,15.0,19.4,2.5,1.4,3.8,7.4,13.0,62.4,Amsterdam Zuid,hiltonbuurt,hiltonbuurt,Hiltonbuurt,82.2,84.2,72.9,hiltonbuurt,Amsterdam Zuid,hiltonbuurt
Minervabuurt-Noord,Amsterdam                               ,Buurt     ,0.7,3.2,40.1,119.5,3.6,0.6,2.8,4.6,6.7,13.5,2.8,3.6,5.7,10.0,0.6,4.2,66.4,153.9,0.4,29.7,338.1,909.7,0.9,1.7,171.7,599.4,0.4,13.5,261.0,772.2,0.4,28.2,793.0,1890.0,2.1,1.7,1.7,0.9,1.8,6.0,1.3,37.8,49.0,63.8,0.5,33.3,52.0,62.4,1.9,1.7,9.4,15.0,19.1,2.3,1.2,3.4,7.3,13.0,62.4,Amsterdam Zuid,minervabuurtnoord,minervabuurt noord,Minervabuurt Noord,78.7,81.3,70.1,minervabuurt noord,Amsterdam Zuid,minervabuurt noord
Minervabuurt-Midden,Amsterdam                               ,Buurt     ,0.6,2.0,37.2,114.6,3.8,0.5,2.6,4.8,6.6,13.9,2.6,3.8,5.6,10.0,0.6,4.2,61.7,149.4,0.4,26.5,303.8,871.3,0.9,1.1,145.0,569.6,0.4,12.4,233.0,740.6,0.4,21.3,706.9,1819.0,2.0,1.6,1.6,1.1,2.0,6.0,1.5,36.8,49.0,64.4,0.7,32.2,52.0,62.8,1.9,1.8,8.9,15.0,19.0,2.2,1.1,3.3,7.1,13.0,62.4,Amsterdam Zuid,minervabuurtmidden,minervabuurt midden,Minervabuurt Midden,78.3,81.0,69.6,minervabuurt midden,Amsterdam Zuid,minervabuurt midden
Minervabuurt-Zuid,Amsterdam                               ,Buurt     ,0.6,2.1,34.8,109.1,3.9,0.4,2.4,4.8,6.3,14.0,2.4,3.8,5.3,10.0,0.5,4.4,57.1,143.1,0.4,24.1,280.2,823.2,0.8,1.7,111.4,522.9,0.3,12.2,205.6,699.3,0.4,21.3,614.4,1716.0,1.9,1.2,1.2,1.3,2.2,6.1,1.8,35.2,49.0,65.1,0.9,31.6,51.8,62.8,1.8,2.0,8.4,15.0,19.1,1.9,1.1,3.2,7.1,13.0,62.5,Amsterdam Zuid,minervabuurtzuid,minervabuurt zuid,Minervabuurt Zuid,77.0,80.0,67.8,minervabuurt zuid,Amsterdam Zuid,minervabuurt zuid
Beethovenbuurt,Amsterdam                               ,Buurt     ,0.4,4.1,43.6,123.9,3.2,0.5,3.0,3.6,7.7,12.8,3.0,2.6,6.7,9.8,0.3,4.4,68.0,154.7,0.2,22.5,365.9,933.3,0.9,4.4,198.4,614.9,0.3,10.4,288.3,787.6,0.3,31.5,869.1,1934.0,2.0,1.6,1.6,0.8,1.5,5.5,1.3,40.6,49.0,61.0,0.8,33.8,52.0,60.3,2.2,1.3,9.6,15.0,19.0,2.1,1.0,3.2,7.0,13.0,62.0,Amsterdam Zuid,beethovenbuurt,beethovenbuurt,Beethovenbuurt,77.5,81.1,65.0,beethovenbuurt,Amsterdam Zuid,beethovenbuurt
Diepenbrockbuurt,Amsterdam                               ,Buurt     ,0.3,2.7,39.5,119.6,3.4,0.5,3.1,3.5,8.0,12.8,3.1,2.5,7.0,9.6,0.4,4.4,61.2,149.7,0.4,21.7,320.0,903.3,1.0,2.0,167.5,598.8,0.4,9.3,252.0,770.1,0.4,33.5,759.8,1883.0,1.6,1.4,1.6,1.1,1.6,5.3,1.5,39.4,49.0,61.0,0.9,32.8,52.0,60.7,2.2,1.5,9.0,15.0,18.9,2.1,0.8,3.1,7.0,12.9,62.0,Amsterdam Zuid,diepenbrockbuurt,diepenbrockbuurt,Diepenbrockbuurt,80.4,83.4,70.8,diepenbrockbuurt,Amsterdam Zuid,diepenbrockbuurt
Scheldebuurt,Amsterdam                               ,Wijk      ,0.4,4.9,34.3,99.2,3.1,0.4,3.0,2.9,7.9,12.0,3.0,2.0,6.9,8.5,0.4,6.5,49.1,133.7,0.4,29.2,243.7,777.5,0.5,5.1,107.0,511.6,0.3,12.8,187.1,673.4,0.3,49.0,536.3,1664.0,1.2,1.2,2.9,1.6,1.1,4.4,1.5,38.2,49.0,59.9,0.9,31.3,52.0,59.1,1.8,1.6,8.0,15.0,18.0,3.0,0.6,3.1,7.2,12.0,62.0,Amsterdam Zuid,scheldebuurt,scheldebuurt oost,Scheldebuurt Oost,75.1,77.8,59.4,scheldebuurt oost,Amsterdam Zuid,scheldebuurt oost
Wielingenbuurt,Amsterdam                               ,Buurt     ,0.4,3.6,38.2,109.7,3.1,0.4,3.1,3.0,8.0,12.1,3.1,2.0,7.0,9.0,0.4,5.7,57.2,142.6,0.3,30.5,280.7,862.3,0.7,4.8,144.6,578.0,0.4,10.5,228.9,740.9,0.2,54.6,684.0,1816.0,1.3,1.3,2.3,1.4,1.7,4.8,1.3,40.6,49.0,60.5,0.8,32.0,52.0,59.3,1.9,1.2,8.2,15.0,18.0,2.8,0.9,3.2,7.0,12.0,62.0,Amsterdam Zuid,wielingenbuurt,wielingenbuurt,Wielingenbuurt,76.0,79.0,62.8,wielingenbuurt,Amsterdam Zuid,wielingenbuurt
Scheldebuurt-West,Amsterdam                               ,Buurt     ,0.4,5.3,34.5,103.2,3.1,0.3,3.1,3.0,8.0,12.4,3.1,2.0,7.0,8.8,0.2,6.1,50.9,138.5,0.2,30.9,255.3,803.6,0.4,4.8,113.1,530.2,0.2,12.4,199.1,694.7,0.2,55.8,571.2,1711.0,1.1,1.1,2.7,1.7,1.2,4.5,1.2,38.8,49.0,60.0,0.7,31.8,52.0,59.0,1.8,1.3,8.0,15.0,18.0,2.9,0.4,3.0,7.1,12.0,62.0,Amsterdam Zuid,scheldebuurtwest,scheldebuurt west,Scheldebuurt West,73.3,77.0,56.6,scheldebuurt west,Amsterdam Zuid,scheldebuurt west
Scheldebuurt-Midden,Amsterdam                               ,Buurt     ,0.3,6.5,37.1,100.1,2.9,0.4,2.9,3.0,8.0,11.4,2.9,2.0,7.0,8.1,0.4,9.1,50.0,135.6,0.2,38.0,259.7,790.6,0.3,6.9,103.6,530.9,0.2,18.2,189.3,696.3,0.3,61.0,539.0,1704.0,1.3,1.3,3.0,1.5,0.9,4.1,1.3,39.5,49.0,60.0,1.0,31.9,52.0,59.0,1.5,1.5,8.0,15.0,18.0,3.1,0.4,3.2,7.9,12.0,62.0,Amsterdam Zuid,scheldebuurtmidden,scheldebuurt midden,Scheldebuurt Midden,75.2,79.1,56.9,scheldebuurt midden,Amsterdam Zuid,scheldebuurt midden
